---------------------------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations UserCounters...
VecDeque         BulkCopy/FixedSlice/100/10000      1145.84          n/a             n/a
Vector           BulkCopy/FixedSlice/100/10000       816.50          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/100/100000       121.82          n/a             n/a
Deque            BulkCopy/FixedSlice/100/100000     11099.52          n/a             n/a
VecDeque         BulkCopy/FixedSlice/100/100000     10649.71          n/a             n/a
Vector           BulkCopy/FixedSlice/100/100000      7467.46          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/100/500        119.85          n/a             n/a
Deque            BulkCopy/FixedSlice/100/500        153.49          n/a             n/a
VecDeque         BulkCopy/FixedSlice/100/500        152.29          n/a             n/a
Vector           BulkCopy/FixedSlice/100/500        114.65          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/1000/1000       806.86          n/a             n/a
Deque            BulkCopy/FixedSlice/1000/1000       864.83          n/a             n/a
VecDeque         BulkCopy/FixedSlice/1000/1000       855.21          n/a             n/a
Vector           BulkCopy/FixedSlice/1000/1000       571.17          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/1000/10000       921.89          n/a             n/a
Deque            BulkCopy/FixedSlice/1000/10000      2175.47          n/a             n/a
VecDeque         BulkCopy/FixedSlice/1000/10000      2077.49          n/a             n/a
Vector           BulkCopy/FixedSlice/1000/10000      1799.81          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/1000/100000       845.67          n/a             n/a
Deque            BulkCopy/FixedSlice/1000/100000     12250.47          n/a             n/a
VecDeque         BulkCopy/FixedSlice/1000/100000     11484.85          n/a             n/a
Vector           BulkCopy/FixedSlice/1000/100000      8073.70          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/50/100          81.14          n/a             n/a
Deque            BulkCopy/FixedSlice/50/100          60.20          n/a             n/a
VecDeque         BulkCopy/FixedSlice/50/100          61.89          n/a             n/a
Vector           BulkCopy/FixedSlice/50/100          43.14          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/50/1000         78.58          n/a             n/a
Deque            BulkCopy/FixedSlice/50/1000        171.24          n/a             n/a
VecDeque         BulkCopy/FixedSlice/50/1000        166.17          n/a             n/a
Vector           BulkCopy/FixedSlice/50/1000        135.31          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/50/10000        89.05          n/a             n/a
Deque            BulkCopy/FixedSlice/50/10000      1143.39          n/a             n/a
VecDeque         BulkCopy/FixedSlice/50/10000      1098.60          n/a             n/a
Vector           BulkCopy/FixedSlice/50/10000       783.80          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/50/100000        92.06          n/a             n/a
Deque            BulkCopy/FixedSlice/50/100000     10999.78          n/a             n/a
VecDeque         BulkCopy/FixedSlice/50/100000     10633.45          n/a             n/a
Vector           BulkCopy/FixedSlice/50/100000      7480.90          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/50/50           52.87          n/a             n/a
Deque            BulkCopy/FixedSlice/50/50           46.87          n/a             n/a
VecDeque         BulkCopy/FixedSlice/50/50           54.25          n/a             n/a
Vector           BulkCopy/FixedSlice/50/50           29.16          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/50/500          81.38          n/a             n/a
Deque            BulkCopy/FixedSlice/50/500         102.68          n/a             n/a
VecDeque         BulkCopy/FixedSlice/50/500         107.59          n/a             n/a
Vector           BulkCopy/FixedSlice/50/500          80.76          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/500/1000       422.11          n/a             n/a
Deque            BulkCopy/FixedSlice/500/1000       538.96          n/a             n/a
VecDeque         BulkCopy/FixedSlice/500/1000       551.19          n/a             n/a
Vector           BulkCopy/FixedSlice/500/1000       408.46          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/500/10000       441.97          n/a             n/a
Deque            BulkCopy/FixedSlice/500/10000      1584.56          n/a             n/a
VecDeque         BulkCopy/FixedSlice/500/10000      1490.92          n/a             n/a
Vector           BulkCopy/FixedSlice/500/10000      1070.35          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/500/100000       480.40          n/a             n/a
Deque            BulkCopy/FixedSlice/500/100000     11582.05          n/a             n/a
VecDeque         BulkCopy/FixedSlice/500/100000     10960.61          n/a             n/a
Vector           BulkCopy/FixedSlice/500/100000      7516.95          n/a             n/a
BlockOrderBook   BulkCopy/FixedSlice/500/500        458.51          n/a             n/a
Deque            BulkCopy/FixedSlice/500/500        458.40          n/a             n/a
VecDeque         BulkCopy/FixedSlice/500/500        431.14          n/a             n/a
Vector           BulkCopy/FixedSlice/500/500        308.41          n/a             n/a
BlockOrderBook   BulkCopy/Scalar/10                  69.52          n/a             n/a
Deque            BulkCopy/Scalar/10                  25.67          n/a             n/a
VecDeque         BulkCopy/Scalar/10                  23.80          n/a             n/a
Vector           BulkCopy/Scalar/10                  23.65          n/a             n/a
BlockOrderBook   BulkCopy/Scalar/100                336.24          n/a             n/a
Deque            BulkCopy/Scalar/100                201.76          n/a             n/a
VecDeque         BulkCopy/Scalar/100                188.44          n/a             n/a
Vector           BulkCopy/Scalar/100                177.08          n/a             n/a
BlockOrderBook   BulkCopy/Scalar/1000              2058.08          n/a             n/a
Deque            BulkCopy/Scalar/1000               821.54          n/a             n/a
VecDeque         BulkCopy/Scalar/1000               830.82          n/a             n/a
Vector           BulkCopy/Scalar/1000               690.12          n/a             n/a
BlockOrderBook   BulkCopy/Scalar/10000            10047.77          n/a             n/a
Deque            BulkCopy/Scalar/10000             5927.48          n/a             n/a
VecDeque         BulkCopy/Scalar/10000             6371.87          n/a             n/a
Vector           BulkCopy/Scalar/10000             5639.84          n/a             n/a
BlockOrderBook   BulkCopy/Scalar/100000          103346.01          n/a             n/a
Deque            BulkCopy/Scalar/100000           53243.52          n/a             n/a
VecDeque         BulkCopy/Scalar/100000           75475.58          n/a             n/a
Vector           BulkCopy/Scalar/100000           75735.90          n/a             n/a
BlockOrderBook   BulkCopy/Scalar/50                 226.87          n/a             n/a
Deque            BulkCopy/Scalar/50                 130.69          n/a             n/a
VecDeque         BulkCopy/Scalar/50                 125.38          n/a             n/a
Vector           BulkCopy/Scalar/50                 121.98          n/a             n/a
BlockOrderBook   BulkCopy/Scalar/500               1178.90          n/a             n/a
Deque            BulkCopy/Scalar/500                451.52          n/a             n/a
VecDeque         BulkCopy/Scalar/500                469.84          n/a             n/a
Vector           BulkCopy/Scalar/500                409.75          n/a             n/a
BlockOrderBook   RemoveMiddle/10                     18.89      18.8851     52951803.76
Deque            RemoveMiddle/10                     14.69      14.6911     68068305.83
VecDeque         RemoveMiddle/10                     12.76      12.7604     78367482.79
Vector           RemoveMiddle/10                     12.74      12.7448     78463484.81
BlockOrderBook   RemoveMiddle/100                    28.33      28.3298     35298492.82
Deque            RemoveMiddle/100                    25.58      25.5838     39087231.40
VecDeque         RemoveMiddle/100                    24.22      24.2221     41284624.50
Vector           RemoveMiddle/100                    19.27      19.2687     51897624.47
BlockOrderBook   RemoveMiddle/1000                   32.93      32.9283     30368969.98
Deque            RemoveMiddle/1000                   59.25      59.2542     16876441.67
VecDeque         RemoveMiddle/1000                   83.39      83.3860     11992419.81
Vector           RemoveMiddle/1000                   43.71      43.7060     22880146.55
BlockOrderBook   RemoveMiddle/10000                  84.62      84.6167     11817991.96
Deque            RemoveMiddle/10000                 365.69     365.6950      2734519.25
VecDeque         RemoveMiddle/10000                 749.14     749.1362      1334870.68
Vector           RemoveMiddle/10000                1162.37    1162.3710       860310.53
BlockOrderBook   RemoveMiddle/100000                 61.87      61.8653     16164156.77
Deque            RemoveMiddle/100000               8892.67    8892.6743       112452.11
VecDeque         RemoveMiddle/100000              19823.98   19823.9760        50443.97
Vector           RemoveMiddle/100000              17443.20   17443.2020        57328.92
BlockOrderBook   RemoveMiddle/50                     28.04      28.0368     35667351.88
Deque            RemoveMiddle/50                     20.76      20.7559     48179175.50
VecDeque         RemoveMiddle/50                     18.47      18.4662     54153121.56
Vector           RemoveMiddle/50                     16.26      16.2575     61509946.49
BlockOrderBook   RemoveMiddle/500                    29.08      29.0828     34384555.62
Deque            RemoveMiddle/500                    43.98      43.9803     22737449.84
VecDeque         RemoveMiddle/500                    51.69      51.6935     19344776.40
Vector           RemoveMiddle/500                    31.95      31.9529     31296107.94
BlockOrderBook   StdLowerBound/10                 67027.44      16.3641     61109303.47
Deque            StdLowerBound/10                 18069.75       4.4116    226677142.18
VecDeque         StdLowerBound/10                 16815.57       4.1054    243583755.72
Vector           StdLowerBound/10                 13255.26       3.2361    309009306.55
BlockOrderBook   StdLowerBound/100               569486.52     139.0348      7192444.17
Deque            StdLowerBound/100                33754.94       8.2410    121345194.83
VecDeque         StdLowerBound/100                37940.92       9.2629    107957330.97
Vector           StdLowerBound/100                31260.52       7.6320    131027881.87
BlockOrderBook   StdLowerBound/1000             5960125.00    1455.1086       687233.91
Deque            StdLowerBound/1000               58371.84      14.2509     70170826.74
VecDeque         StdLowerBound/1000               54558.34      13.3199     75075600.01
Vector           StdLowerBound/1000               45175.86      11.0293     90667894.16
BlockOrderBook   StdLowerBound/10000           60926125.00   14874.5422        67228.96
Deque            StdLowerBound/10000             124953.67      30.5063     32780149.52
VecDeque         StdLowerBound/10000             126732.57      30.9406     32320025.64
Vector           StdLowerBound/10000             101571.04      24.7976     40326456.54
BlockOrderBook   StdLowerBound/100000         599839000.00  146445.0684         6828.50
Deque            StdLowerBound/100000            330861.85      80.7768     12379789.19
VecDeque         StdLowerBound/100000            187509.59      45.7787     21844215.54
Vector           StdLowerBound/100000            147053.94      35.9018     27853725.56
BlockOrderBook   StdLowerBound/50                272606.62      66.5543     15025314.02
Deque            StdLowerBound/50                 31525.92       7.6968    129924846.36
VecDeque         StdLowerBound/50                 30708.24       7.4971    133384386.60
Vector           StdLowerBound/50                 27234.39       6.6490    150398090.36
BlockOrderBook   StdLowerBound/500              3007508.60     734.2550      1361924.62
Deque            StdLowerBound/500                70262.72      17.1540     58295493.72
VecDeque         StdLowerBound/500                46184.29      11.2755     88688159.31
Vector           StdLowerBound/500                38112.01       9.3047    107472689.08
